producto_inei,unidad_medida,año_mes,precio_soles
CEBOLLA CHINA,KILOGRAMO,2024-01,9.52
CEBOLLA CHINA,KILOGRAMO,2024-02,9.18
CEBOLLA CHINA,KILOGRAMO,2024-03,7.43
CEBOLLA CHINA,KILOGRAMO,2024-04,5.6
CEBOLLA CHINA,KILOGRAMO,2024-05,5.2
CEBOLLA CHINA,KILOGRAMO,2024-06,5.3
CEBOLLA CHINA,KILOGRAMO,2024-07,4.65
CEBOLLA CHINA,KILOGRAMO,2024-08,4.37
CEBOLLA CHINA,KILOGRAMO,2024-09,4.18
CEBOLLA CHINA,KILOGRAMO,2024-10,4.46
CEBOLLA CHINA,KILOGRAMO,2024-11,4.39
CEBOLLA CHINA,KILOGRAMO,2024-12,4.41
CEBOLLA CHINA,KILOGRAMO,2025-01,5.18
CEBOLLA CHINA,KILOGRAMO,2025-02,5.23
CEBOLLA CHINA,KILOGRAMO,2025-03,5.28
CEBOLLA CHINA,KILOGRAMO,2025-04,5.99
CEBOLLA CHINA,KILOGRAMO,2025-05,5.08
CEBOLLA CHINA,KILOGRAMO,2025-06,4.86
CEBOLLA CHINA,KILOGRAMO,2025-07,6.17
CEBOLLA CHINA,KILOGRAMO,2025-08,7.25
CEBOLLA CHINA,KILOGRAMO,2025-09,5.09
CEBOLLA CHINA,KILOGRAMO,2025-10,4.57
CEBOLLA CHINA,KILOGRAMO,2025-11,5.58
CEBOLLA CHINA,KILOGRAMO,2025-12,9.76
CEBOLLA CHINA,KILOGRAMO,2026-01,7.01
CEBOLLA CHINA,KILOGRAMO,2026-02,5.56
CEBOLLA CHINA,KILOGRAMO,2026-03,5.94
CEBOLLA CHINA,KILOGRAMO,2026-04,5.9
CEBOLLA CHINA,KILOGRAMO,2026-05,6.59
CEBOLLA CHINA,KILOGRAMO,2026-06,6.02
CEBOLLA CHINA,KILOGRAMO,2026-07,5.91
CEBOLLA CHINA,KILOGRAMO,2026-08,6.73
ESPINACA,KILOGRAMO,2023-08,7.83
ESPINACA,KILOGRAMO,2023-09,6.36
ESPINACA,KILOGRAMO,2023-10,5.31
ESPINACA,KILOGRAMO,2023-11,5.51
ESPINACA,KILOGRAMO,2023-12,5.58
ESPINACA,KILOGRAMO,2024-01,5.53
ESPINACA,KILOGRAMO,2024-02,5.93
ESPINACA,KILOGRAMO,2024-03,7.71
ESPINACA,KILOGRAMO,2024-04,7.21
ESPINACA,KILOGRAMO,2024-05,6.31
ESPINACA,KILOGRAMO,2024-06,6.22
ESPINACA,KILOGRAMO,2024-07,5.77
ESPINACA,KILOGRAMO,2024-08,5.51
ESPINACA,KILOGRAMO,2024-09,5.43
ESPINACA,KILOGRAMO,2024-10,5.91
ESPINACA,KILOGRAMO,2024-11,5.72
ESPINACA,KILOGRAMO,2024-12,5.81
ESPINACA,KILOGRAMO,2025-01,6.42
ESPINACA,KILOGRAMO,2025-02,6.35
ESPINACA,KILOGRAMO,2025-03,6.56
ESPINACA,KILOGRAMO,2025-04,6.59
ESPINACA,KILOGRAMO,2025-05,7.06
ESPINACA,KILOGRAMO,2025-06,6.69
ESPINACA,KILOGRAMO,2025-07,6.47
